,adult,genre_ids,id,original_language,original_title,popularity,release_date,title,video,vote_average,vote_count
2965,False,"['Comedy', 'Fantasy', 'Horror']",12591,en,Santa's Slay,5.431,2005-12-20,Santa's Slay,False,5.4,89
2966,False,"['Action', 'Thriller']",348389,en,Stratton,5.998,2018-01-05,Stratton,False,4.9,133
2967,False,['Comedy'],84056,it,Un'estate al mare,6.412,2008-06-27,A summer at the sea,False,4.5,109
2968,False,"['Animation', 'Action', 'Thriller', 'Science Fiction']",25565,en,Transformers: Beginnings,6.237,2007-10-16,Transformers: Beginnings,False,6.8,140
2969,False,"['Comedy', 'Drama']",11129,en,Human Traffic,5.759,1999-06-06,Human Traffic,False,6.8,166
2970,False,"['Comedy', 'Drama']",8944,en,What Just Happened,6.374,2008-10-17,What Just Happened,False,5.4,222
2971,False,"['Adventure', 'Family']",36355,en,Flipper,6.684,1996-05-17,Flipper,False,5.4,162
2972,False,"['Comedy', 'Drama', 'Science Fiction']",20874,ru,Кин-дза-дза!,6.836,1986-12-01,Kin-dza-dza!,False,7.6,95
2973,False,"['Drama', 'Science Fiction', 'TV Movie']",7012,en,The Day After,7.283,1983-11-20,The Day After,False,6.9,160
2974,False,['Thriller'],376453,en,Operation Avalanche,5.799,2016-09-16,Operation Avalanche,False,6.3,108
2975,False,"['Comedy', 'Romance']",4952,en,Pillow Talk,9.201,1959-10-07,Pillow Talk,False,7.2,97
2976,False,"['Comedy', 'Drama']",22640,en,Shrink,6.062,2009-06-08,Shrink,False,6.2,102
2977,False,"['Fantasy', 'Romance']",338729,ko,뷰티 인사이드,5.596,2015-08-20,The Beauty Inside,False,7.8,116
2978,False,"['Drama', 'Horror', 'Thriller', 'Mystery']",37936,en,Happy Birthday to Me,5.504,1981-05-15,Happy Birthday to Me,False,6.2,64
2979,False,['Documentary'],80767,en,Jiro Dreams of Sushi,5.414,2012-03-09,Jiro Dreams of Sushi,False,7.9,392
2980,False,"['Drama', 'Romance']",444539,en,The Bookshop,8.746,2018-08-24,The Bookshop,False,6.6,164
2981,False,"['Comedy', 'Horror']",22172,en,Street Trash,8.458,1987-09-16,Street Trash,False,6.0,131
2982,False,"['Comedy', 'Crime', 'Drama']",509874,en,Lying and Stealing,11.863,2019-07-12,Lying and Stealing,False,5.4,29
2983,False,['Documentary'],109520,en,After Porn Ends,6.901,2012-05-21,After Porn Ends,False,5.4,124
2984,False,['Drama'],127373,en,What Maisie Knew,6.952,2013-05-02,What Maisie Knew,False,7.1,240
2985,False,"['Comedy', 'Drama', 'Romance']",325346,en,The Hollars,7.412,2016-08-26,The Hollars,False,6.4,150
2986,False,"['Comedy', 'Romance']",370978,es,"Kiki, el amor se hace",7.26,2016-04-01,"Kiki, Love to Love",False,6.3,217
2987,False,"['Thriller', 'Horror', 'Mystery']",44247,en,The Prowler,6.076,1981-11-06,The Prowler,False,6.3,73
2988,False,"['Horror', 'Science Fiction', 'Thriller', 'Mystery']",73262,de,Hell,5.201,2012-07-10,Hell,False,5.6,117
2989,False,['Documentary'],214314,en,Bears,5.589,2014-04-18,Bears,False,7.4,90
2990,False,"['Drama', 'Music']",6478,en,Beyond the Sea,4.277,2004-12-17,Beyond the Sea,False,6.4,86
2991,False,"['Animation', 'Fantasy', 'Horror']",9463,ja,バンパイアハンターD,7.095,1985-12-21,Vampire Hunter D,False,6.7,122
2992,False,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']",2612,en,Mr. Destiny,5.782,1990-10-12,Mr. Destiny,False,6.2,96
2993,False,"['Drama', 'Horror']",532635,en,The Golem,12.076,2019-02-05,The Golem,False,5.9,36
2994,False,"['Action', 'Adventure', 'Comedy', 'Crime']",10090,en,Reno 911!: Miami,6.197,2007-02-23,Reno 911!: Miami,False,5.8,120
2995,False,['Documentary'],324558,en,X-Rated: The Greatest Adult Movies of All Time,5.777,2015-02-06,X-Rated: The Greatest Adult Movies of All Time,False,5.7,72
2996,False,"['Family', 'Drama']",227735,en,Dolphin Tale 2,10.191,2014-09-12,Dolphin Tale 2,False,6.7,180
2997,False,"['Animation', 'Action']",103269,en,Superman vs. The Elite,6.1,2012-06-12,Superman vs. The Elite,False,6.7,175
2998,False,['Comedy'],329263,de,Fack ju Göhte 2,4.545,2015-09-10,Suck Me Shakespeer 2,False,6.5,579
2999,False,['Drama'],5991,de,Der letzte Mann,7.421,1925-01-05,The Last Laugh,False,7.8,111
3000,False,"['Action', 'Comedy']",412547,en,Killing Gunther,9.488,2017-09-22,Killing Gunther,False,4.6,140
3001,False,"['Drama', 'Comedy']",19178,fr,La Traversée de Paris,6.071,1956-11-11,Four Bags Full,False,7.2,104
3002,False,"['Comedy', 'Family']",20726,en,Little Giants,7.296,1994-10-14,Little Giants,False,6.1,171
3003,False,"['Action', 'Comedy', 'Horror']",381237,en,Office Uprising,8.511,2018-06-19,Office Uprising,False,5.3,72
3004,False,"['Action', 'Drama', 'History', 'Thriller', 'War']",468362,en,The Angel,7.748,2018-09-14,The Angel,False,6.8,102
3005,False,"['Adventure', 'Action', 'Thriller']",27418,en,Next of Kin,5.896,1989-10-20,Next of Kin,False,5.3,91
3006,False,"['Comedy', 'Drama']",522098,en,Babyteeth,4.873,2019-09-04,Babyteeth,False,7.4,6
3007,False,['Documentary'],669,en,Nanook of the North,6.995,1922-06-11,Nanook of the North,False,7.0,112
3008,False,"['Drama', 'History']",49367,pt,Dois Filhos de Francisco,6.366,2005-08-19,Two Sons of Francisco,False,6.6,184
3009,False,"['Comedy', 'Drama']",18503,it,Caterina va in città,4.909,2003-10-24,Caterina in the Big City,False,6.5,135
3010,False,"['Crime', 'Drama', 'Fantasy', 'Mystery', 'Thriller', 'Science Fiction']",9785,en,The Invisible,5.948,2007-04-27,The Invisible,False,6.1,264
3011,False,['Horror'],36073,ja,ギニーピッグ2 血肉の華,4.116,1985-10-07,Guinea Pig 2: Flower of Flesh and Blood,False,4.9,51
3012,False,['Action'],321494,en,The Man with the Iron Fists 2,6.693,2015-04-14,The Man with the Iron Fists 2,False,4.9,96
3013,False,"['Action', 'Comedy', 'Drama', 'Romance']",14736,en,Love & Basketball,7.045,2000-04-21,Love & Basketball,False,7.3,179
3014,False,"['Thriller', 'Drama']",2912,fr,Le boucher,5.064,1971-12-19,Le Boucher,False,7.0,85
3015,False,"['Drama', 'Music', 'Family']",16346,en,Center Stage : Turn It Up,5.491,2008-10-30,Center Stage : Turn It Up,False,6.8,98
3016,False,"['Mystery', 'Thriller']",12235,en,Jagged Edge,8.182,1985-10-04,Jagged Edge,False,6.5,108
3017,False,['Comedy'],133790,en,Clear History,4.952,2013-08-10,Clear History,False,6.2,173
3018,False,"['Action', 'Comedy', 'Horror', 'Science Fiction']",22476,en,Infestation,5.673,2009-02-05,Infestation,False,5.8,109
3019,False,"['Comedy', 'Family']",19100,en,Nos jours heureux,7.122,2006-06-28,Those Happy Days,False,7.4,534
3020,False,"['Romance', 'Drama', 'Comedy']",37916,it,Travolti da un insolito destino nell'azzurro mare d'agosto,5.519,1974-12-18,Swept Away,False,7.5,105
3021,False,['Comedy'],267481,ru,Кухня в Париже,6.128,2014-05-05,Kitchen in Paris,False,6.7,29
3022,False,['Drama'],291351,en,The Sea of Trees,8.146,2016-08-26,The Sea of Trees,False,6.3,260
3023,False,"['Action', 'Horror', 'Thriller']",450932,en,Armed Response,4.675,2017-08-04,Armed Response,False,4.7,52
3024,False,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",9070,en,Mighty Morphin Power Rangers: The Movie,7.807,1995-06-30,Mighty Morphin Power Rangers: The Movie,False,5.3,305
3025,False,"['Adventure', 'Action', 'Science Fiction']",388347,en,The Call Up,4.94,2016-07-15,The Call Up,False,4.9,90
3026,False,['Drama'],515916,nl,Girl,8.358,2019-01-18,Girl,False,7.5,269
3027,False,"['Thriller', 'Drama', 'Fantasy']",508018,es,El aviso,7.467,2018-03-10,The Warning,False,6.0,167
3028,False,['Comedy'],82679,en,Fun Size,7.288,2012-10-26,Fun Size,False,5.6,271
3029,False,"['Drama', 'Action', 'Thriller', 'Crime']",1662,en,State of Grace,5.906,1990-09-14,State of Grace,False,7.0,132
3030,False,"['Crime', 'Drama', 'Romance']",15804,zh,牯嶺街少年殺人事件,7.815,1993-01-08,A Brighter Summer Day,False,8.2,72
3031,False,"['Music', 'Drama', 'Crime', 'Comedy']",340275,en,Chi-Raq,4.782,2015-12-04,Chi-Raq,False,5.7,102
3032,False,"['Mystery', 'Adventure', 'Thriller', 'Horror']",468988,ru,Гоголь. Начало,5.048,2017-08-31,Gogol. The Beginning,False,6.9,45
3033,False,"['Western', 'Action', 'Comedy']",19176,en,The Cowboy Way,5.464,1994-06-03,The Cowboy Way,False,5.5,64
3034,False,"['Drama', 'Mystery', 'Thriller']",1644,en,The Vanishing,6.769,1993-02-05,The Vanishing,False,6.0,226
3035,False,['Documentary'],110354,en,Side by Side,6.463,2012-08-19,Side by Side,False,7.3,169
3036,False,"['Animation', 'Comedy', 'Family']",54553,en,Home Makeover,8.125,2010-12-13,Home Makeover,False,6.9,91
3037,False,"['Action', 'Crime', 'Drama', 'Thriller']",27430,fr,Touchez pas au grisbi,6.704,1959-07-10,Touchez Pas au Grisbi,False,7.0,76
3038,False,"['Comedy', 'Drama', 'Romance']",28971,en,Limelight,5.12,1952-10-31,Limelight,False,8.1,211
3039,False,['Comedy'],527246,es,Soltera Codiciada,7.311,2018-05-31,How to Get Over a Breakup,False,6.8,142
3040,False,"['Drama', 'Horror', 'Mystery', 'Thriller']",21786,no,Fritt vilt,5.733,2006-10-13,Cold Prey,False,6.3,165
3041,False,"['Thriller', 'Action', 'Crime']",26263,en,Death Wish 4: The Crackdown,6.839,1987-11-06,Death Wish 4: The Crackdown,False,5.5,97
