adult,genre_ids,id,original_language,original_title,popularity,release_date,title,video,vote_average,vote_count
FALSE,"['Adventure', 'Romance', 'History']",14073,hi,जोधा अकबर,6.373,2/15/2008,Jodhaa Akbar,FALSE,7.5,132
FALSE,"['Comedy', 'Crime', 'Thriller']",2084,en,Birthday Girl,6.058,9/6/2001,Birthday Girl,FALSE,6,198
FALSE,"['Crime', 'Drama', 'Thriller']",44945,en,Trust,6.024,4/1/2011,Trust,FALSE,6.6,576
FALSE,"['Comedy', 'Romance']",2058,en,Addicted to Love,9.995,5/23/1997,Addicted to Love,FALSE,6.2,196
FALSE,"['Animation', 'Comedy', 'Family']",15653,en,An Extremely Goofy Movie,7.982,2/29/2000,An Extremely Goofy Movie,FALSE,6.1,290
FALSE,"['Adventure', 'Action', 'Science Fiction']",41517,hi,Ra.One,6.849,10/26/2011,Ra.One,FALSE,5.4,150
FALSE,[],455761,ko,여자 하숙집,9.617,5/11/2017,Female Hostel,FALSE,4.3,4
FALSE,"['Action', 'Adventure', 'Animation', 'Horror']",31967,en,Dante's Inferno: An Animated Epic,9.461,2/9/2010,Dante's Inferno: An Animated Epic,FALSE,6.1,111
FALSE,"['Action', 'Science Fiction', 'Drama']",503346,en,Occupation,7.94,7/20/2018,Occupation,FALSE,4.3,71
FALSE,"['Comedy', 'Horror', 'Science Fiction', 'TV Movie']",597856,en,Critters Attack!,6.68,7/23/2019,Critters Attack!,FALSE,3.8,29
FALSE,"['Music', 'Comedy', 'Romance']",13320,en,Funny Face,6.697,2/13/1957,Funny Face,FALSE,7.1,330
FALSE,"['Comedy', 'Crime', 'Drama']",92591,en,Bernie,5.924,4/27/2012,Bernie,FALSE,6.6,523
FALSE,"['Comedy', 'Fantasy', 'Thriller']",127867,en,The Brass Teapot,5.7,4/5/2013,The Brass Teapot,FALSE,6,249
FALSE,"['History', 'Drama']",10858,en,Nixon,7.6,12/22/1995,Nixon,FALSE,7,146
FALSE,"['Drama', 'Thriller']",71859,en,We Need to Talk About Kevin,7.392,12/9/2011,We Need to Talk About Kevin,FALSE,7.6,1361
FALSE,"['Drama', 'Horror', 'Thriller']",11481,en,Repulsion,7.107,10/2/1965,Repulsion,FALSE,7.5,440
FALSE,"['Action', 'Drama', 'Thriller']",336882,no,Bølgen,7.474,3/4/2016,The Wave,FALSE,6.5,608
FALSE,"['Action', 'Crime', 'Science Fiction']",414190,en,iBoy,9.426,1/27/2017,iBoy,FALSE,6,726
FALSE,['Documentary'],618362,ru,Государственные похороны,6.281,9/7/2019,State Funeral,FALSE,0,0
FALSE,['Western'],10046,en,Blueberry,7.08,2/11/2004,Blueberry,FALSE,4.9,97
FALSE,['Drama'],1951,da,Manderlay,10.448,5/16/2005,Manderlay,FALSE,7,149
FALSE,"['Drama', 'War', 'History']",472454,tr,Ayla,6.533,10/27/2017,Ayla: The Daughter of War,FALSE,8.3,84
FALSE,"['Adventure', 'Comedy', 'Family']",116149,en,Paddington,12.314,1/16/2015,Paddington,FALSE,7.1,1992
FALSE,"['Thriller', 'Action']",430354,en,Bushwick,8.218,1/21/2017,Bushwick,FALSE,5.2,225
FALSE,"['Crime', 'Drama', 'Mystery', 'Romance']",152742,en,La migliore offerta,7.815,1/1/2014,The Best Offer,FALSE,7.8,1518
FALSE,"['Drama', 'Horror', 'Science Fiction']",52015,en,Stake Land,8.31,10/1/2010,Stake Land,FALSE,6.2,424
FALSE,"['Drama', 'Comedy']",4953,en,Be Kind Rewind,5.409,1/20/2008,Be Kind Rewind,FALSE,6.2,743
FALSE,"['Drama', 'Music', 'Romance']",382399,en,High Strung,8.061,4/8/2016,High Strung,FALSE,7.1,663
FALSE,"['Adventure', 'Comedy']",5683,en,Pee-wee's Big Adventure,6.668,7/26/1985,Pee-wee's Big Adventure,FALSE,6.5,397
FALSE,"['Drama', 'Romance']",515911,fr,Mademoiselle de Joncquières,6.965,9/12/2018,Lady J,FALSE,6.3,97
FALSE,"['Thriller', 'Drama']",245698,en,Pawn Sacrifice,7.03,9/18/2015,Pawn Sacrifice,FALSE,6.7,467
FALSE,"['Comedy', 'Drama', 'Romance']",11010,it,Il postino,6.578,6/14/1995,The Postman,FALSE,7.9,497
FALSE,"['Comedy', 'Mystery']",15159,en,The Pink Panther 2,6.434,2/6/2009,The Pink Panther 2,FALSE,5.7,602
FALSE,"['Action', 'Adventure', 'History']",43209,th,องค์บาก 3,6.21,5/5/2010,Ong Bak 3,FALSE,5.4,169
FALSE,['Documentary'],18570,en,"Food, Inc.",5.846,6/12/2009,"Food, Inc.",FALSE,7.4,338
FALSE,['Drama'],414453,en,Columbus,7.518,8/4/2017,Columbus,FALSE,7.2,143
FALSE,['Drama'],22798,en,Whip It,8.626,10/2/2009,Whip It,FALSE,6.7,638
FALSE,"['Comedy', 'Drama', 'Romance']",242042,en,Barefoot,8.426,2/21/2014,Barefoot,FALSE,6.4,348
FALSE,"['Crime', 'Thriller']",101669,en,Mother's Day,7.035,9/23/2010,Mother's Day,FALSE,6.4,203
FALSE,"['Adventure', 'Drama', 'History']",49009,en,The Way Back,8.835,9/3/2010,The Way Back,FALSE,6.9,785
FALSE,"['Comedy', 'Romance']",236737,es,Ocho apellidos vascos,5.414,3/14/2014,Spanish Affair,FALSE,6.7,369
FALSE,"['Action', 'Drama', 'Thriller']",176241,en,Prison Break: The Final Break,8.558,5/26/2009,Prison Break: The Final Break,FALSE,7.5,312
FALSE,"['Comedy', 'Mystery', 'Romance', 'Thriller']",4808,en,Charade,8.336,12/5/1963,Charade,FALSE,7.7,598
FALSE,"['Drama', 'Romance']",71325,sv,Kyss mig,7.21,11/11/2011,With Every Heartbeat,FALSE,7.2,110
FALSE,"['Action', 'Animation', 'Fantasy', 'Horror']",539517,en,Constantine: City of Demons - The Movie,8.002,10/4/2018,Constantine: City of Demons - The Movie,FALSE,7.1,87
FALSE,"['Comedy', 'Family', 'Music']",64328,en,The Muppets,8.66,11/23/2011,The Muppets,FALSE,6.6,861
FALSE,"['Horror', 'Thriller']",10984,en,Valentine,7.518,2/1/2001,Valentine,FALSE,5.1,241
FALSE,"['Drama', 'Romance']",14313,en,Feast of Love,5.695,9/28/2007,Feast of Love,FALSE,6.1,105
FALSE,"['TV Movie', 'Animation', 'Family']",359983,en,The Lion Guard: Return of the Roar,7.743,11/22/2015,The Lion Guard: Return of the Roar,FALSE,5.9,102
FALSE,"['Adventure', 'Animation', 'Family']",25913,en,Balto II: Wolf Quest,8.493,2/19/2002,Balto II: Wolf Quest,FALSE,6.1,287
FALSE,['Drama'],468198,it,The Place,6.93,11/4/2017,The Place,FALSE,7.2,504
FALSE,"['Drama', 'Comedy', 'Science Fiction', 'Romance']",22494,en,Frequently Asked Questions About Time Travel,7.02,4/24/2009,Frequently Asked Questions About Time Travel,FALSE,7,295
FALSE,"['Action', 'Adventure', 'Western']",18118,en,Mackenna's Gold,6.37,5/9/1969,Mackenna's Gold,FALSE,6.8,66
FALSE,"['Action', 'Thriller']",460059,en,Burn Out,5.848,12/11/2017,Burn Out,FALSE,6.5,113
FALSE,['Comedy'],20875,ru,Операция «Ы» и другие приключения Шурика,9.01,11/11/1965,Operation Y and Other Shurik's Adventures,FALSE,8,90
FALSE,"['Comedy', 'Drama', 'Romance']",2028,en,Say Anything...,7.779,4/14/1989,Say Anything...,FALSE,7.3,458
FALSE,"['Family', 'Animation']",44874,en,Barbie: A Fashion Fairytale,11.523,9/14/2010,Barbie: A Fashion Fairytale,FALSE,6.8,255
FALSE,['Comedy'],123229,fr,Les Kaïra,9.272,7/11/2012,Porn in the Hood,FALSE,5.2,200
FALSE,"['Comedy', 'Drama']",12548,it,I vitelloni,8.105,10/23/1956,I Vitelloni,FALSE,7.7,224
FALSE,"['Family', 'Animation', 'Science Fiction']",13060,en,Lifted,7.656,12/28/2006,Lifted,FALSE,7.6,372
FALSE,"['Romance', 'Drama']",241771,en,Beyond the Lights,7.888,11/14/2014,Beyond the Lights,FALSE,7,251
FALSE,['Horror'],10929,en,Willard,7.481,3/14/2003,Willard,FALSE,5.9,151
FALSE,"['Crime', 'Drama']",63310,nl,Rundskop,6.309,2/17/2012,Bullhead,FALSE,7.3,172
FALSE,"['Drama', 'Music', 'Family']",2054,en,Mr. Holland's Opus,5.379,12/29/1995,Mr. Holland's Opus,FALSE,7.1,182
FALSE,"['Animation', 'Family']",13283,en,Barbie as the Island Princess,7.424,9/18/2007,Barbie as the Island Princess,FALSE,6.9,322
FALSE,['Drama'],232679,en,When the Game Stands Tall,6.993,8/22/2014,When the Game Stands Tall,FALSE,6.6,194
FALSE,"['Crime', 'Drama', 'Thriller']",480572,en,Bullet Head,8.759,12/8/2017,Bullet Head,FALSE,4.8,283
FALSE,"['Comedy', 'Drama']",94363,en,Hick,5.309,5/11/2012,Hick,FALSE,5.7,258
FALSE,"['Comedy', 'Romance']",11700,sv,Sommarnattens leende,5.917,12/26/1955,Smiles of a Summer Night,FALSE,7.7,103
FALSE,"['Adventure', 'Comedy', 'Crime']",20873,ru,Бриллиантовая рука,8.317,2/2/1968,The Diamond Arm,FALSE,8,106
FALSE,"['Adventure', 'Drama', 'History']",2000,de,"Aguirre, der Zorn Gottes",7.991,4/2/1977,"Aguirre, the Wrath of God",FALSE,7.6,448
FALSE,['Drama'],417670,it,Loro 1,7.314,4/24/2018,Loro 1,FALSE,6.8,342
FALSE,"['Drama', 'Romance']",14553,en,Stealing Beauty,5.654,6/14/1996,Stealing Beauty,FALSE,6.7,221
FALSE,"['Animation', 'Family']",14613,en,Next Avengers: Heroes of Tomorrow,7.301,9/2/2008,Next Avengers: Heroes of Tomorrow,FALSE,6.2,81
FALSE,['Drama'],404,en,The Straight Story,8.204,10/15/1999,The Straight Story,FALSE,7.8,656
FALSE,"['Drama', 'Thriller']",302528,en,Remember,6.916,3/11/2016,Remember,FALSE,7.4,323
FALSE,['Drama'],477887,en,The White Crow,8.613,4/26/2019,The White Crow,FALSE,6.5,48
FALSE,"['Horror', 'Thriller', 'Drama']",11167,en,Peeping Tom,7.092,5/16/1962,Peeping Tom,FALSE,7.6,267
FALSE,['Drama'],1626,fr,Vivre sa vie: film en douze tableaux,7.804,9/23/1962,Vivre Sa Vie,FALSE,8,244
FALSE,"['Drama', 'Romance']",46705,en,Blue Valentine,7.583,12/29/2010,Blue Valentine,FALSE,6.9,1746
FALSE,"['Comedy', 'Drama']",112200,en,Thanks for Sharing,6.535,9/19/2013,Thanks for Sharing,FALSE,5.8,315
FALSE,['Drama'],2014,de,Auf der anderen Seite,5.907,5/21/2008,The Edge of Heaven,FALSE,7.3,128
FALSE,['Drama'],34308,en,Modigliani,6.849,5/18/2004,Modigliani,FALSE,7.2,98
FALSE,"['Animation', 'Comedy', 'Drama', 'Family']",293299,en,Feast,6.063,11/7/2014,Feast,FALSE,8,588
FALSE,['Comedy'],501633,fr,Les Invisibles,6.84,1/9/2019,Invisibles,FALSE,7.2,167
FALSE,"['Horror', 'Thriller', 'Mystery']",215830,en,Open Grave,5.728,1/2/2014,Open Grave,FALSE,5.9,362
FALSE,['Comedy'],11017,en,Billy Madison,9.204,2/10/1995,Billy Madison,FALSE,6.1,822
FALSE,"['Adventure', 'Drama', 'Family', 'Romance']",334354,de,Ostwind 2,10.214,5/14/2015,Windstorm 2,FALSE,7.4,102
FALSE,"['Comedy', 'Romance']",519035,en,Nappily Ever After,7.609,9/21/2018,Nappily Ever After,FALSE,7.3,589
FALSE,['Drama'],13275,en,Annapolis,6.88,1/27/2006,Annapolis,FALSE,6.2,201
FALSE,"['Thriller', 'TV Movie']",495715,en,The Landlord,7.369,12/26/2017,The Landlord,FALSE,5.1,5
FALSE,"['Animation', 'Action', 'Crime', 'Mystery']",39207,ja,名探偵コナン 戦慄の楽譜（フルスコア）,6.704,4/19/2008,Detective Conan: Full Score of Fear,FALSE,7.5,55
FALSE,"['Crime', 'Drama', 'Thriller']",340677,en,I.T.,10.087,9/23/2016,I.T.,FALSE,5.3,367
FALSE,"['Drama', 'History', 'Romance']",5544,fr,Hiroshima mon amour,6.341,6/10/1959,Hiroshima Mon Amour,FALSE,8,292
